'00000000001','TIRE','42751-T9P -J010-M1',','FR=220KPA / RR=220KPA','','35',','35',','35',','35',','35',','35','','','360.1','360.1','360.1','360.1','目標','360.1','','','test.testName','2019/2/27  16:02:00'
'00000000002','TIRE','42751-TZAA-J020-M2',','FR=220KPA / RR=220KPA','','35',','35',','35',','35',','35',','35','','','360.1','360.1','360.1','360.1','推定','360.1','','','test.testName','2019/2/27  16:02:00'
'00000000003','TIRE','42751-TD4 -J110-M1',','FR=210KPA / RR=220KPA','実測','35',','35',','35',','35',','35',','35','','','360.1','360.1','360.1','360.1','実測','','','','test.testName','2019/2/27  16:02:00'
'00000000004','TIRE','42751-TD4 -J110-M1',','FR=210KPA / RR=220KPA','同定式','35',','35',','35',','35',','35',','35','','','360.1','360.1','360.1','360.1','同定式','','','','test.testName','2019/2/27  16:02:00'
'00000000005','TIRE','42751-TZAA-J030-M3',','FR=210KPA / RR=210KPA','','43',','43',','43',','43',','43',','43','','','360.1','360.1','360.1','360.1','','','','','test.testName','2019/2/27  16:02:00'
'00000000006','TIRE','42751-TZAA-J010-M1',','FR=220KPA / RR=220KPA','目標','44',','44',','44',','44',','44',','44','','','360.1','360.1','360.1','360.1','目標','','','','test.testName','2019/2/27  16:02:00'
'00000000007','TIRE','42751-T9P -J010-M1',','FR=210KPA / RR=210KPA','','62',','62',','62',','62',','62',','62','','','360.1','360.1','360.1','360.1','','','','','test.testName','2019/2/27  16:02:00'
'00000000008','TIRE','42751-T9P -J010-M1',','FR=210KPA / RR=210KPA','実測','62',','62',','62',','62',','62',','62','','','360.1','360.1','360.1','360.1','実測','','','','test.testName','2019/2/27  16:02:00'
'00000000009','TIRE','42751-TD4 -J110-M1',','FR=210KPA / RR=220KPA','','63',','63',','63',','63',','63',','63','','','360.1','360.1','360.1','360.1','','','','','test.testName','2019/2/27  16:02:00'
'00000000010','TIRE','42751-TZAA-J010-M1',','FR=210KPA / RR=210KPA','','64',','64',','64',','64',','64',','64','','','360.1','360.1','360.1','360.1','','','','','test.testName','2019/2/27  16:02:00'
